Metrics	LogisticRegression unbalanced	LogisticRegression dict balanced	LogisticRegression balanced	RandomForest unbalanced	RandomForest dict balanced	RandomForest balanced	Random Forest balanced subsample	Balanced RandomForest	Balanced RandomForest balanced	Balanced RandomForest balanced subsample	XGBClassifier unbalanced	XGBClassifier dict balanced	SVM unbalanced	SVM
Accuracy	0.2722	0.8855	0.5768	0.9784	0.9807	0.9802	0.7814	0.7176	0.7173	0.7747	0.9698	0.9698	0.8186	0.9383
f1_macro	0.0929	0.8403	0.5157	0.9654	0.9702	0.9719	0.803	0.7479	0.7489	0.7992	0.9372	0.9372	0.6719	0.9095
precision_macro	0.1308	0.8446	0.5985	0.974	0.9786	0.98	0.8478	0.7875	0.7895	0.8464	0.9468	0.9468	0.7434	0.931
recall_macro	0.1084	0.8773	0.5838	0.9614	0.9661	0.968	0.8165	0.7837	0.7819	0.8143	0.9362	0.9362	0.6632	0.9046
f1_weighted	0.1713	0.8912	0.5808	0.977	0.9795	0.9791	0.8153	0.7347	0.7351	0.8079	0.9681	0.9681	0.7916	0.9361
precision_weighted	0.2155	0.9187	0.7309	0.9786	0.9808	0.9807	0.9054	0.8346	0.8386	0.902	0.9706	0.9706	0.8139	0.9428
recall_weighted	0.2722	0.8855	0.5768	0.9784	0.9807	0.9802	0.7814	0.7176	0.7173	0.7747	0.9698	0.9698	0.8186	0.9383
