uniprot_id,Organ_id,NSAF
A0A075B6H7,36,0.0005994181474311396
A0A075B6H7,55,0.0009552345542294697
A0A075B6H9,16,0.0003225482924737673
A0A075B6H9,55,0.0004647059229645993
A0A075B6I0,16,0.00024912963881260287
A0A075B6I0,25,0.0014857377550564256
A0A075B6I0,36,0.0008404078494411933
A0A075B6I0,43,0.0029706575850444216
A0A075B6I1,2,0.0009149132942525616
A0A075B6I1,16,0.00024024923661093334
A0A075B6K4,16,0.0004469929271245377
A0A075B6Q5,25,0.0009044946088750647
A0A0A0MRZ7,25,0.0007504977120523254
A0A0A0MS14,16,0.00039779975071565945
A0A0A0MS14,25,0.0007873878116426937
A0A0A0MS15,0,0.005046395210355634
A0A0A0MS15,2,0.0006963259358659479
A0A0A0MS15,25,0.0006044858660091796
A0A0A0MS15,36,0.0008913256947412687
A0A0A0MS15,49,0.00047800865369032803
A0A0B4J1U7,2,0.0006848164162648581
A0A0B4J1U7,16,0.00029136720430353086
A0A0B4J1U7,29,0.0013205777478066966
A0A0B4J1U7,36,0.0005746488024959685
A0A0B4J1U7,47,0.0011339251208798264
A0A0B4J1U7,49,0.0011452356351152714
A0A0B4J1V0,25,0.0009737680661858813
A0A0C4DH25,16,0.0008713325218681471
A0A0C4DH25,25,0.0006044213509687412
A0A0C4DH25,49,0.0004903709464581813
A0A0C4DH29,25,0.0017376944791699486
A0A0C4DH30,2,0.0004691863047449035
A0A0C4DH31,16,0.0010983800559684152
A0A0C4DH31,25,0.0031910694036108933
A0A0C4DH34,16,0.0006857614958344772
A0A0C4DH35,49,0.0004861797417875987
A0A0C4DH36,16,0.00012426684652289656
A0A0C4DH38,0,0.018951079426685107
A0A0C4DH38,16,0.0004660854846407943
A0A0C4DH38,25,0.0024971258220819045
A0A0C4DH38,47,0.0012795581080896237
A0A0C4DH39,16,0.00032951401679052464
A0A0G2JMI3,16,0.0004794522157675082
A0A0G2JMI3,25,0.0009129727050192002
A0A0G2JMI3,43,0.0025660865129929944
A0A0G2JMI3,47,0.0005716238777654743
A0A0J9YX35,16,0.00032951401679052464
A0A0J9YXX1,25,0.0009013629255202062
A0A1B0GUS4,24,0.0001891813786999059
A0AVT1,1,0.0003338622673694187
A0AVT1,2,0.0001575338143879236
A0AVT1,4,0.0004980216601071649
A0AVT1,7,0.00037677892114662385
A0AVT1,10,0.0006580643819702808
A0AVT1,11,0.0006107977250806153
A0AVT1,12,0.0006275935174824186
A0AVT1,13,0.00011011887121844535
A0AVT1,16,5.645781130091501e-05
A0AVT1,17,0.00012960399300677503
A0AVT1,19,0.0005542690107224079
A0AVT1,21,0.001320012834300055
A0AVT1,22,0.0002541395601697907
A0AVT1,24,0.0005398216134774303
A0AVT1,25,0.00017779967233495856
A0AVT1,26,0.0005507927229012111
A0AVT1,27,0.000502072401088065
A0AVT1,30,7.759631737268893e-05
A0AVT1,32,0.00039319095014321516
A0AVT1,33,0.0006440177731772015
A0AVT1,34,0.0003919559854307952
A0AVT1,35,0.0003128676993796941
A0AVT1,37,0.00026383126968230336
A0AVT1,38,0.0009775852737028854
A0AVT1,39,0.00015430698266868394
A0AVT1,40,0.0005657449790660402
A0AVT1,41,0.0006314411410465664
A0AVT1,44,0.001008738148906801
A0AVT1,45,0.001097560716186754
A0AVT1,46,0.000513865531706707
A0AVT1,47,0.0003302411291137678
A0AVT1,49,0.00013632978011487407
A0AVT1,53,0.0005604794048952749
A0AVT1,54,0.0003180263671500809
A0MZ66,1,0.0005396918555622048
A0MZ66,2,0.0001756430666892899
A0MZ66,4,0.0003043719891527165
A0MZ66,7,0.0009770902272985618
A0MZ66,10,0.001090117146108833
A0MZ66,12,0.000754216315762705
A0MZ66,13,0.00021560784668321885
A0MZ66,16,4.321077789459027e-05
A0MZ66,19,0.0009806008706482092
A0MZ66,22,0.00043482003345758017
A0MZ66,23,0.0007017069602911852
A0MZ66,27,0.0006603627392139678
A0MZ66,28,0.0011022702521959128
A0MZ66,30,0.0001672072425135122
A0MZ66,31,0.0015062589094821822
A0MZ66,33,0.0010430457240515319
A0MZ66,35,0.0007229681270553588
A0MZ66,38,0.0009731895878119655
A0MZ66,39,0.00016454359651738148
A0MZ66,45,0.0014315550049403532
A0MZ66,46,0.0008679696523449358
A0MZ66,54,0.000740994284878501
A1L4H1,2,0.00012181258862537871
A1L4H1,16,6.93350307730107e-05
A1L4H1,40,0.00035004381367495377
A1L4H1,43,0.00038748422816505283
A1L4H1,55,0.00010533554728119402
A1L4K1,37,0.00025949765849337265
A1X283,16,5.642611044931048e-05
A1X283,37,8.440407036689777e-05
A2A3N6,13,5.547653931931437e-05
A2RRP1,4,7.151275101252252e-05
A2RRP1,13,4.885915332003565e-05
A2RRP1,16,1.084019118922856e-05
A2RRP1,37,2.246868205484104e-05
A2RRP1,44,2.6277264872792695e-05
A3KMH1,1,0.00034222034633332
A3KMH1,4,7.023587079011564e-05
A3KMH1,10,0.00031507259519333554
A3KMH1,11,0.0003228374115800934
A3KMH1,12,0.0002494537297783948
A3KMH1,17,0.00019913870572546436
A3KMH1,18,0.0011870370492430313
A3KMH1,19,0.00033643990533208795
A3KMH1,22,6.419531778194416e-05
A3KMH1,24,4.4439991069870254e-05
A3KMH1,27,0.00018753919090341685
A3KMH1,34,0.00017176151969812412
A3KMH1,35,0.00030480296417741105
A3KMH1,37,0.00015022318429108746
A3KMH1,39,0.00010600285787441809
A3KMH1,42,0.00031276403261907616
A3KMH1,44,0.0003576603964443131
A3KMH1,45,0.00019589493017967225
A3KMH1,46,0.0006485345196465198
A3KMH1,53,0.00022279765244248624
A3KN83,4,0.0001477360353101748
A3KN83,13,0.00013731737801363672
A3KN83,24,2.4783928864419625e-05
A3KN83,33,0.0005581778278770163
A3KN83,44,6.356853483044629e-05
A3KN83,45,0.0004992751325554183
A4D1T9,43,0.0012356073493658788
A5A3E0,2,5.106492805130578e-05
A5A3E0,22,6.505755421260595e-05
A5A3E0,36,0.00019733536311481115
A5YKK6,4,0.00013891435037593084
A5YKK6,10,0.00024866543826261844
A5YKK6,11,0.00019283375366613992
A5YKK6,12,0.00020822217958080036
A5YKK6,13,9.108969946270753e-05
A5YKK6,16,1.0817379339082878e-05
A5YKK6,19,0.0003682545854131923
A5YKK6,22,4.135418703091152e-05
A5YKK6,24,0.0001410633742374715
A5YKK6,27,0.00013473248644317365
A5YKK6,32,0.00017209165958837567
A5YKK6,37,3.106741388821524e-05
A5YKK6,39,9.24721849390247e-05
A5YKK6,41,0.0003050966821508178
A5YKK6,44,0.0003962581752779454
A5YKK6,45,0.00034837398038378145
A5YKK6,47,4.121320143679615e-05
A5YKK6,53,0.00027618341695515237
A5YKK6,54,0.00017427556078248457
A5YKK6,55,3.48680168083582e-05
A5YM72,7,0.0009694498239127141
A5YM72,22,0.0002481298934127107
A5YM72,37,0.00020046955487353034
A6NC98,4,0.00020295007988895334
A6NC98,24,0.00020169055522023554
A6NC98,44,0.00011445529737520789
A6NDG6,2,0.0001710118307014134
A6NDG6,7,0.0005581488706119266
A6NDG6,13,0.00014897438284501238
A6NDG6,16,4.49063993665296e-05
A6NDG6,17,0.0005505121379062554
A6NDG6,24,0.00038072492391822555
A6NDG6,37,0.00033177462218541084
A6NDG6,44,0.00017968830147773273
A6NDG6,49,0.00017720570027772285
A6NHL2,24,0.0002776676354081875
A6NHL2,25,0.00036250520432768194
A6NHL2,39,0.00048411027272790845
A6NHL2,47,0.0002733779979196949
A6NHL2,49,0.00026594501437264057
A6NHQ2,4,0.0007198295256638817
A6NHR9,4,0.0005794812780823887
A6NHR9,13,4.770152308553514e-05
A6NHR9,16,1.2818999156938111e-05
A6NHR9,24,6.870821233511803e-05
A6NHR9,44,0.0002999156136522453
A6NHR9,45,0.00027277905566517886
A6NHT5,24,7.493543205919059e-05
A6NIH7,16,0.0001023987781261391
A6NIH7,24,0.00020723534581948349
A6NMZ7,0,0.0002692171612332117
A6NMZ7,1,0.00010466445085981784
A6NMZ7,16,2.271506258034549e-05
A6NMZ7,17,0.0001398928880047837
A6NMZ7,25,0.0003339492894729667
A6NMZ7,27,0.00013272231011134456
A6NMZ7,30,0.0007118479017710179
A6NMZ7,35,0.0003941802107006997
A6NMZ7,40,0.00030575434386172554
A6NMZ7,45,0.00015489275406676138
A6NMZ7,49,0.0002764972725058062
A8K2U0,2,0.0004509037362791891
